USA,Menahem Golan,Action,Over the Top,PG,93,5.7,Sylvester Stallone,Gary Conway,1987
USA,John Hughes,Comedy,"Planes, Trains & Automobiles",R,93,7.6,Steve Martin,John Hughes,1987
USA,Joel Coen,Comedy,Raising Arizona,PG-13,94,7.4,Nicolas Cage,Ethan Coen,1987
UK,Alan Parker,Horror,Angel Heart,R,113,7.3,Mickey Rourke,William Hjortsberg,1987
USA,Howard Deutch,Drama,Some Kind of Wonderful,PG-13,95,7.1,Eric Stoltz,John Hughes,1987
USA,Michael Gottlieb,Comedy,Mannequin,PG,90,5.8,Andrew McCarthy,Edward Rugoff,1987
USA,Garry Marshall,Comedy,Overboard,PG,106,6.8,Goldie Hawn,Leslie Dixon,1987
USA,Joe Dante,Action,Innerspace,PG,120,6.8,Dennis Quaid,Chip Proser,1987
USA,Norman Jewison,Comedy,Moonstruck,PG,102,7.1,Cher,John Patrick Shanley,1987
USA,Tony Scott,Action,Beverly Hills Cop II,R,100,6.5,Eddie Murphy,Danilo Bach,1987
USA,William Dear,Comedy,Harry and the Hendersons,PG,110,5.9,John Lithgow,William Dear,1987
UK,Bernardo Bertolucci,Biography,The Last Emperor,PG-13,163,7.8,John Lone,Mark Peploe,1987
USA,Barry Levinson,Biography,"Good Morning, Vietnam",R,121,7.3,Robin Williams,Mitch Markowitz,1987
UK,James Ivory,Drama,Maurice,R,140,7.7,James Wilby,E.M. Forster,1987
USA,Leonard Nimoy,Comedy,3 Men and a Baby,PG,102,5.9,Tom Selleck,Coline Serreau,1987
USA,John Carpenter,Horror,Prince of Darkness,R,102,6.7,Donald Pleasence,John Carpenter,1987
USA,Luis Valdez,Biography,La Bamba,PG-13,108,6.8,Lou Diamond Phillips,Luis Valdez,1987
USA,Kathryn Bigelow,Action,Near Dark,R,94,7,Adrian Pasdar,Kathryn Bigelow,1987
West Germany,Wim Wenders,Drama,Wings of Desire,PG-13,128,8.1,Bruno Ganz,Wim Wenders,1987
USA,Marek Kanievska,Crime,Less Than Zero,R,98,6.4,Andrew McCarthy,Bret Easton Ellis,1987
USA,Roger Donaldson,Action,No Way Out,R,114,7.1,Kevin Costner,Kenneth Fearing,1987
USA,Charles Shyer,Comedy,Baby Boom,PG,110,6.1,Diane Keaton,Nancy Meyers,1987
UK,Bruce Robinson,Comedy,Withnail & I,R,107,7.8,Richard E. Grant,Bruce Robinson,1987
USA,Jeffrey Bloom,Drama,Flowers in the Attic,PG-13,93,5.7,Louise Fletcher,Virginia C. Andrews,1987
